Scenario No.,Scenario Name,Category,Scenario,Decision,Level,Feedback,Action Tags,VideoURL
1,Scope Creep Ambush,Big Picture Thinking,"You are a Senior Engineer working on-site at a major financial services client for the past three months. Your team is developing a customer portal modernization project, and you've been primarily focused on implementing specific UI components and integrating APIs as assigned by your Project Manager. You haven't had access to the original Statement of Work (SOW) or contract details, and your understanding of the project scope comes mainly from daily task assignments and team standup meetings.

During your regular daily interactions with the client's Project Manager - someone you've built a good working relationship with over the past few months - she approaches you casually after a team standup meeting. asking if you could add ""another quick update"", real-time notifications so customers get instant mobile and email updates. She says ""it's just sending some messages to users, right?"" and wants timeline estimates.

However, you realize this requires real-time messaging infrastructure, push notification services, message queuing systems, mobile app integration, email services, user preference management, and significant database architecture changes - none part of your current assignments. 

Your project manager is unavailable, but you're expected to respond immediately to this request that could significantly impact the project scope.

What should be your primary approach in this situation?","Acknowledge the PM's request and explain that while you're enthusiastic about contributing to innovative solutions, you need to understand how this aligns with the current project scope and objectives before committing to any timeline, and request guidance from your project manager.",Green ,This demonstrates P1-level big picture thinking by showing awareness of the need to align day-to-day activities with organizational objectives and understanding the business impact of individual decisions.,Seek Strategic Alignment,https://youtu.be/nxTXYP8nDxQ?si=oRVabP_bAPSmS8A4
,,,,"Express appreciation for the PM's confidence in your abilities, then explain that you want to ensure any work you commit to serves both the client's needs as well as your team's, so you need to consult with your team about how this fits into the overall project direction.",Green ,This shows P1-level understanding of aligning individual tasks with business objectives and demonstrates awareness of how personal decisions impact the broader team and organizational purpose.,Clarify Project Fit,
,,,,"Thank the PM for the opportunity while explaining that you're curious about how this enhancement aligns with the project's future direction, and that you'd like to discuss with your team lead to understand the strategic implications before providing estimates.",Green ,This reflects P1-level big picture thinking by displaying curiosity about strategic initiatives and showing awareness of the need to align current work with future direction and organizational vision.,Seek Strategic Alignment,
,,,,"Respond that you recognize the value of the new feature requested, and want to ensure your contribution aligns with the project's business objectives, so you need to understand the project scope and get guidance from your team before making any commitments.",Green ,This demonstrates P1-level awareness of business impact and shows the appropriate level of ownership for individual goals while recognizing the need for team guidance on strategic alignment.,Clarify Project Fit,
,,,,"Show enthusiasm for the opportunity and explain that while you understand your company focuses on innovative technologies, you'll need to discuss with your team about how this fits into the project objectives.",Light green,This shows some P1-level awareness of organizational vision but lacks full understanding of the need to align individual activities with broader business objectives before making preliminary commitments.,Clarify Project Fit,
,,,,Ask the PM to provide detailed requirements for the notification functionality and explain that you want to understand how this aligns with your current work and the project's direction.,Light green,This demonstrates some curiosity about strategic alignment but doesn't fully address the P1-level need to understand business impact and seek appropriate guidance before engaging in detailed discussions.,Request Time or Guidance,
,,,,"Suggest that the notification feature sounds valuable and that you're interested in contributing to innovative solutions, mentioning that you'll check with your project manager about how to proceed.",Light green,This shows some P1-level enthusiasm for strategic initiatives but lacks sufficient understanding of the need to align day-to-day activities with organizational objectives before making commitments.,Clarify Project Fit,
,,,,"Explain that you'd like to contribute to this enhancement since it seems important for the client, and that you'll coordinate with your team to understand how it fits into the current project timeline.",Light green,This demonstrates some awareness of team collaboration but doesn't fully show P1-level understanding of the need to align individual tasks with broader business objectives and strategic priorities.,Request Time or Guidance,
,,,,"Tell the PM that the notification functionality sounds interesting and that you're willing to work on it, asking her to send you the detailed requirements so you can start planning the implementation.",Orange,"While showing some interest in contributing, this response lacks P1-level understanding of the need to align individual activities with organizational objectives and doesn't demonstrate awareness of business impact.",Request Time or Guidance,
,,,,"Respond that you're not sure about the project scope but are eager to work on innovative features like real-time notifications, and ask for a few days to figure out the technical approach.",Orange,This response shows enthusiasm for technology but lacks P1-level big picture thinking about aligning day-to-day tasks with business objectives and understanding the broader project context.,Seek Strategic Alignment,
